1,New York Rangers*,29.4,82,53,22,7,113,.689,248,187,4,5,0.69,-0.04,5.30,70,144,39,232,16.81,37,235,84.26,9,6,8.7,8.2,2582,9.6,2418,.923,11
2,Montreal Canadiens*,28.4,82,50,22,10,110,.671,214,184,7,5,0.36,-0.03,4.85,56,138,40,242,16.53,42,257,83.66,7,4,10.2,9.3,2334,9.2,2470,.926,9
3,Anaheim Ducks*,27.0,82,51,24,7,109,.665,228,221,8,5,0.10,-0.03,5.48,53,163,37,236,15.68,52,274,81.02,9,6,10.8,9.8,2458,9.3,2367,.907,4
4,St. Louis Blues*,28.3,82,51,24,7,109,.665,239,197,9,4,0.59,0.02,5.32,89,150,56,251,22.31,42,257,83.66,2,5,11.0,10.6,2535,9.4,2233,.912,10
5,Tampa Bay Lightning*,26.9,82,50,24,8,108,.659,259,206,3,5,0.57,-0.06,5.67,98,158,53,282,18.79,42,257,83.66,7,6,9.9,10.5,2428,10.7,2287,.910,5
6,Nashville Predators*,28.4,82,47,25,10,104,.634,226,202,6,6,0.33,0.03,5.22,73,152,42,259,16.22,45,234,80.77,4,5,8.5,9.3,2614,8.6,2317,.913,5
7,Chicago Blackhawks*,29.3,82,48,28,6,102,.622,220,186,9,3,0.51,0.02,4.95,82,144,46,260,17.69,35,211,83.41,3,7,7.3,8.8,2777,7.9,2477,.925,5
8,New York Islanders*,27.3,82,47,28,7,101,.616,245,224,7,6,0.26,-0.01,5.72,81,173,50,267,18.73,48,217,77.88,10,3,8.5,9.4,2771,8.8,2321,.903,6
9,Washington Capitals*,28.1,82,45,26,11,101,.616,237,199,5,4,0.44,-0.03,5.32,94,145,60,237,25.32,50,266,81.20,4,4,10.5,10.4,2419,9.8,2368,.916,9
10,Vancouver Canucks*,29.4,82,48,29,5,101,.616,236,220,6,2,0.20,-0.05,5.56,64,180,46,238,19.33,38,266,85.71,6,2,10.9,9.8,2453,9.6,2446,.910,9
11,Minnesota Wild*,27.7,82,46,28,8,100,.610,227,198,4,3,0.39,0.03,5.18,68,163,39,246,15.85,32,234,86.32,4,3,8.9,9.7,2522,9.0,2265,.913,8
12,Detroit Red Wings*,28.9,82,43,25,14,100,.610,231,211,4,10,0.14,-0.03,5.39,99,148,70,294,23.81,55,288,80.90,3,8,8.8,9.7,2429,9.5,2322,.909,6
13,Winnipeg Jets*,27.3,82,43,26,13,99,.604,223,204,7,6,0.29,0.04,5.21,58,143,48,269,17.84,56,308,81.82,10,5,13.0,11.6,2439,9.1,2350,.913,7
14,Ottawa Senators*,26.9,82,43,26,13,99,.604,232,208,6,7,0.25,-0.04,5.37,71,156,47,280,16.79,44,257,82.88,6,8,10.3,11.1,2539,9.1,2635,.921,6
15,Pittsburgh Penguins*,29.5,82,43,27,12,98,.598,217,204,4,6,0.12,-0.01,5.13,74,151,49,254,19.29,42,277,84.84,6,11,13.7,12.1,2594,8.4,2401,.915,10
16,Calgary Flames*,28.2,82,45,30,7,97,.591,237,213,4,3,0.26,-0.05,5.49,100,174,48,255,18.82,36,186,80.65,6,3,7.6,9.0,2252,10.5,2391,.911,5
17,Boston Bruins,28.3,82,41,27,14,96,.585,209,201,4,10,0.01,-0.01,5.00,65,154,38,213,17.84,44,244,81.97,8,3,9.5,8.5,2546,8.2,2449,.918,5
18,Los Angeles Kings,28.5,82,40,27,15,95,.579,218,197,2,8,0.16,-0.03,5.06,63,150,47,247,19.03,45,236,80.93,7,2,9.1,9.1,2536,8.6,2214,.911,9
19,Dallas Stars,28.5,82,41,31,10,92,.561,257,257,4,3,0.06,0.05,6.27,101,201,55,290,18.97,49,254,80.71,9,7,9.6,11.0,2558,10.0,2454,.895,6
20,Florida Panthers,29.2,82,38,29,15,91,.555,198,213,8,10,-0.23,-0.02,5.01,53,157,40,246,16.26,50,250,80.00,1,6,8.9,9.0,2516,7.9,2424,.912,4
21,Colorado Avalanche,28.6,82,39,31,12,90,.549,209,223,10,4,-0.04,0.06,5.27,58,184,37,247,14.98,37,241,84.65,4,2,9.4,9.6,2286,9.1,2719,.918,6
22,San Jose Sharks,28.5,82,40,33,9,89,.543,224,226,4,6,-0.08,-0.03,5.49,90,173,55,254,21.65,48,223,78.48,4,5,9.3,10.4,2591,8.6,2436,.907,8
23,Columbus Blue Jackets,27.0,82,42,35,5,89,.543,227,248,9,2,-0.16,0.01,5.79,79,183,53,244,21.72,60,303,80.20,5,5,11.9,11.0,2366,9.6,2742,.910,2
24,Philadelphia Flyers,28.6,82,33,31,18,84,.512,212,223,3,11,-0.23,0.00,5.30,81,156,60,256,23.44,61,266,77.07,3,6,10.2,9.2,2413,8.8,2481,.910,3
25,New Jersey Devils,30.5,82,32,36,14,78,.476,176,209,5,7,-0.40,0.02,4.70,50,149,41,212,19.34,52,268,80.60,7,8,9.3,7.7,2008,8.8,2518,.917,5
26,Carolina Hurricanes,27.9,82,30,41,11,71,.433,183,219,5,7,-0.44,0.02,4.90,58,186,45,240,18.75,29,190,84.74,2,4,6.7,8.2,2524,7.3,2236,.902,2
27,Toronto Maple Leafs,27.7,82,30,44,8,68,.415,206,257,5,5,-0.61,0.02,5.65,80,193,45,283,15.90,52,266,80.45,7,12,10.0,10.7,2397,8.6,2748,.906,2
28,Edmonton Oilers,27.2,82,24,44,14,62,.378,193,276,5,7,-1.01,0.03,5.72,52,218,41,232,17.67,51,219,76.71,4,7,8.3,8.7,2331,8.3,2464,.888,2
29,Arizona Coyotes,28.5,82,24,50,8,56,.341,165,267,5,5,-1.20,0.04,5.27,50,195,46,230,20.00,65,279,76.70,4,7,9.5,8.4,2393,6.9,2722,.902,1
30,Buffalo Sabres,26.9,82,23,51,8,54,.329,153,269,8,5,-1.33,0.05,5.15,33,197,30,224,13.39,64,257,75.10,7,8,10.4,9.6,1984,7.7,2920,.908,1
